行权价,上涨触发%,下跌触发%,平仓时间,累计盈亏$,交易天数,日均盈亏$
±1,3.0,0.5,10:30,-208.2,39,-5.34
±1,3.5,0.5,10:30,-231.2,39,-5.93
±1,3.25,0.5,10:30,-231.2,39,-5.93
±1,2.75,0.5,10:30,-241.2,39,-6.18
±1,3.5,0.5,13:00,-249.2,39,-6.39
±1,3.5,0.5,13:30,-258.2,39,-6.62
±1,3.0,0.75,10:30,-281.2,39,-7.21
±1,3.5,0.75,13:00,-288.2,39,-7.39
±1,2.25,0.5,10:30,-300.2,39,-7.7
±1,3.5,0.75,10:30,-304.2,39,-7.8
±1,3.25,0.75,10:30,-304.2,39,-7.8
±1,3.0,3.75,10:30,-308.2,39,-7.9
±1,3.0,4.75,10:30,-310.2,39,-7.95
±1,3.0,4.25,10:30,-310.2,39,-7.95
±1,3.0,5.0,10:30,-310.2,39,-7.95
±1,3.0,4.0,10:30,-310.2,39,-7.95
±1,3.0,4.5,10:30,-310.2,39,-7.95
±1,3.25,0.5,10:00,-312.2,39,-8.01
±1,3.5,0.5,10:00,-312.2,39,-8.01
±1,2.75,0.75,10:30,-314.2,39,-8.06
±1,2.5,0.5,10:30,-315.2,39,-8.08
±1,2.0,0.5,10:30,-317.2,39,-8.13
±1,3.25,0.5,13:00,-317.2,39,-8.13
±1,3.5,0.75,13:30,-322.2,39,-8.26
±1,3.25,0.5,13:30,-326.2,39,-8.36
±1,3.0,0.5,10:00,-328.2,39,-8.42
±1,3.5,3.75,10:30,-331.2,39,-8.49
±1,3.25,3.75,10:30,-331.2,39,-8.49
±1,3.25,4.75,10:30,-333.2,39,-8.54
±1,3.5,4.5,10:30,-333.2,39,-8.54
±1,3.5,4.75,10:30,-333.2,39,-8.54
±1,3.5,4.0,10:30,-333.2,39,-8.54
±1,3.5,4.25,10:30,-333.2,39,-8.54
±1,3.5,5.0,10:30,-333.2,39,-8.54
±1,3.25,4.0,10:30,-333.2,39,-8.54
±1,3.25,4.25,10:30,-333.2,39,-8.54
±1,3.25,4.5,10:30,-333.2,39,-8.54
±1,3.25,5.0,10:30,-333.2,39,-8.54
±1,4.5,0.5,10:30,-335.2,39,-8.59
±1,4.25,0.5,10:30,-335.2,39,-8.59
±1,4.0,0.5,10:30,-335.2,39,-8.59
±1,3.75,0.5,10:30,-335.2,39,-8.59
±1,5.0,0.5,10:30,-335.2,39,-8.59
±1,4.75,0.5,10:30,-335.2,39,-8.59
±1,2.75,3.75,10:30,-341.2,39,-8.75
±1,2.75,4.5,10:30,-343.2,39,-8.8
±1,2.75,4.0,10:30,-343.2,39,-8.8
±1,2.75,5.0,10:30,-343.2,39,-8.8
±1,2.75,4.25,10:30,-343.2,39,-8.8
±1,2.75,4.75,10:30,-343.2,39,-8.8
±1,3.0,0.5,13:00,-345.2,39,-8.85
±1,3.0,1.0,10:30,-347.2,39,-8.9
±1,3.0,0.5,13:30,-354.2,39,-9.08
±1,3.25,0.75,13:00,-356.2,39,-9.13
±1,1.75,0.5,10:30,-359.2,39,-9.21
±1,2.75,0.5,10:00,-361.2,39,-9.26
±1,3.5,0.5,11:00,-367.2,39,-9.42
±1,3.25,1.0,10:30,-370.2,39,-9.49
±1,3.5,1.0,10:30,-370.2,39,-9.49
±1,2.25,0.75,10:30,-373.2,39,-9.57
±1,0.5,0.5,10:00,-375.2,39,-9.62
±0.5,3.0,0.5,10:30,-375.2,39,-9.62
±1,3.25,0.75,10:00,-377.2,39,-9.67
±1,3.5,0.75,10:00,-377.2,39,-9.67
±1,0.75,0.5,10:00,-378.2,39,-9.7
±1,3.0,1.75,10:30,-380.2,39,-9.75
±1,2.75,1.0,10:30,-380.2,39,-9.75
±1,1.5,0.5,10:30,-380.2,39,-9.75
±1,3.0,0.75,13:00,-384.2,39,-9.85
±1,3.0,3.5,10:30,-387.2,39,-9.93
±1,2.5,0.75,10:30,-388.2,39,-9.95
±1,3.25,0.75,13:30,-390.2,39,-10.01
±1,2.0,0.75,10:30,-390.2,39,-10.01
±1,3.0,0.75,10:00,-393.2,39,-10.08
±1,0.75,0.75,13:00,-396.2,39,-10.16
±0.5,3.25,0.5,10:30,-399.2,39,-10.24
±0.5,3.5,0.5,10:30,-399.2,39,-10.24
±1,2.25,3.75,10:30,-400.2,39,-10.26
±1,2.25,4.0,10:30,-402.2,39,-10.31
±1,2.25,5.0,10:30,-402.2,39,-10.31
±1,2.25,4.75,10:30,-402.2,39,-10.31
±1,2.25,4.5,10:30,-402.2,39,-10.31
±1,2.25,4.25,10:30,-402.2,39,-10.31
±1,3.5,1.75,10:30,-403.2,39,-10.34
±1,3.25,1.75,10:30,-403.2,39,-10.34
±1,1.25,0.5,10:30,-406.2,39,-10.42
±1,3.0,3.25,10:30,-407.2,39,-10.44
±1,0.75,0.5,15:00,-407.2,39,-10.44
±1,4.25,0.75,10:30,-408.2,39,-10.47
±0.5,2.75,0.5,10:30,-408.2,39,-10.47
±1,3.75,0.75,10:30,-408.2,39,-10.47
±1,5.0,0.75,10:30,-408.2,39,-10.47
±1,4.5,0.75,10:30,-408.2,39,-10.47
±1,4.0,0.75,10:30,-408.2,39,-10.47
±1,4.75,0.75,10:30,-408.2,39,-10.47
±1,3.5,3.5,10:30,-410.2,39,-10.52
±1,3.25,3.5,10:30,-410.2,39,-10.52
±1,0.75,0.5,14:30,-413.2,39,-10.59
±1,2.75,1.75,10:30,-413.2,39,-10.59
±1,2.5,3.75,10:30,-415.2,39,-10.65
±1,4.25,0.5,10:00,-416.2,39,-10.67
±1,4.5,0.5,10:00,-416.2,39,-10.67
±1,4.0,0.5,10:00,-416.2,39,-10.67
±1,4.75,0.5,10:00,-416.2,39,-10.67
±1,5.0,0.5,10:00,-416.2,39,-10.67
±1,3.75,0.5,10:00,-416.2,39,-10.67
±1,2.0,3.75,10:30,-417.2,39,-10.7
±1,2.5,4.75,10:30,-417.2,39,-10.7
±1,2.5,5.0,10:30,-417.2,39,-10.7
±1,2.5,4.5,10:30,-417.2,39,-10.7
±1,2.5,4.25,10:30,-417.2,39,-10.7
±1,2.5,4.0,10:30,-417.2,39,-10.7
±1,3.0,0.75,13:30,-418.2,39,-10.72
±1,2.0,4.25,10:30,-419.2,39,-10.75
