行权价,上涨触发%,下跌触发%,平仓时间,累计盈亏$,交易天数,日均盈亏$
±4,0.75,0.75,10:30,-424.2,39,-10.88
±3,0.75,0.75,10:30,-466.2,39,-11.95
±4,2.0,0.75,10:30,-550.2,39,-14.11
±3,2.0,0.75,10:30,-615.2,39,-15.77
±4,0.75,0.75,12:00,-641.2,39,-16.44
±3,0.75,0.75,12:00,-661.2,39,-16.95
±4,0.75,1.5,10:30,-665.2,39,-17.06
±4,2.25,0.75,10:30,-669.2,39,-17.16
±4,2.5,0.75,10:30,-669.2,39,-17.16
±4,1.75,0.75,10:30,-670.2,39,-17.18
±4,0.5,0.75,10:30,-682.2,39,-17.49
±4,0.75,0.75,13:30,-704.2,39,-18.06
±4,0.75,0.75,13:00,-706.2,39,-18.11
±4,0.75,1.0,10:30,-707.2,39,-18.13
±3,0.75,0.75,13:30,-714.2,39,-18.31
±3,2.5,0.75,10:30,-721.2,39,-18.49
±3,2.25,0.75,10:30,-721.2,39,-18.49
±3,0.75,0.75,13:00,-723.2,39,-18.54
±3,0.75,1.5,10:30,-726.2,39,-18.62
±3,1.75,0.75,10:30,-744.2,39,-19.08
±4,0.75,0.75,14:00,-744.2,39,-19.08
±4,0.75,0.75,11:00,-750.2,39,-19.24
±4,0.75,4.75,10:30,-753.2,39,-19.31
±4,0.75,4.25,10:30,-753.2,39,-19.31
±4,0.75,3.75,10:30,-753.2,39,-19.31
±4,0.75,3.5,10:30,-753.2,39,-19.31
±4,0.75,3.0,10:30,-753.2,39,-19.31
±4,0.75,4.5,10:30,-753.2,39,-19.31
±4,0.75,4.0,10:30,-753.2,39,-19.31
±4,0.75,5.0,10:30,-753.2,39,-19.31
±4,0.75,2.75,10:30,-753.2,39,-19.31
±4,0.75,2.5,10:30,-753.2,39,-19.31
±4,0.75,3.25,10:30,-753.2,39,-19.31
±4,0.75,0.75,12:30,-757.2,39,-19.42
±3,0.75,1.0,10:30,-769.2,39,-19.72
±3,0.75,0.75,14:00,-773.2,39,-19.83
±3,0.5,0.75,10:30,-785.2,39,-20.13
