行权价,上涨触发%,下跌触发%,平仓时间,累计盈亏$,交易天数,胜率%,日均盈亏$
±3,1.5,0.5,13:00,70.0,40,42.5,1.75
±3,1.75,0.5,13:00,16.0,40,42.5,0.4
±3,1.5,0.75,13:00,-29.0,40,50.0,-0.72
±3,1.75,0.75,13:00,-83.0,40,50.0,-2.08
±2,1.5,0.5,13:00,-128.0,40,42.5,-3.2
±2,1.75,0.5,13:00,-157.0,40,42.5,-3.92
±3,1.25,0.5,13:00,-184.0,40,42.5,-4.6
±2,1.5,0.75,13:00,-235.0,40,47.5,-5.88
±3,3.75,0.5,13:00,-238.0,40,42.5,-5.95
±3,2.0,0.5,13:00,-238.0,40,42.5,-5.95
±3,4.25,0.5,13:00,-238.0,40,42.5,-5.95
±3,4.75,0.5,13:00,-238.0,40,42.5,-5.95
±3,3.0,0.5,13:00,-238.0,40,42.5,-5.95
±3,3.25,0.5,13:00,-238.0,40,42.5,-5.95
±3,5.0,0.5,13:00,-238.0,40,42.5,-5.95
±3,4.0,0.5,13:00,-238.0,40,42.5,-5.95
±3,2.75,0.5,13:00,-238.0,40,42.5,-5.95
±3,2.25,0.5,13:00,-238.0,40,42.5,-5.95
±3,3.5,0.5,13:00,-238.0,40,42.5,-5.95
±3,4.5,0.5,13:00,-238.0,40,42.5,-5.95
±3,2.5,0.5,13:00,-238.0,40,42.5,-5.95
±3,1.25,0.5,13:30,-241.0,40,42.5,-6.03
±2,1.75,0.75,13:00,-264.0,40,47.5,-6.6
±3,1.25,0.75,13:00,-283.0,40,50.0,-7.08
±3,1.5,1.0,13:00,-303.0,40,37.5,-7.58
±3,1.75,0.5,13:30,-332.0,40,40.0,-8.3
±3,4.25,0.75,13:00,-337.0,40,50.0,-8.43
±3,2.0,0.75,13:00,-337.0,40,50.0,-8.43
±3,5.0,0.75,13:00,-337.0,40,50.0,-8.43
±3,3.5,0.75,13:00,-337.0,40,50.0,-8.43
±3,2.25,0.75,13:00,-337.0,40,50.0,-8.43
