行权价,上涨触发%,下跌触发%,平仓时间,累计盈亏$,交易天数,胜率%,日均盈亏$
+2,1.5,1.25,13:00,2225.2,42,42.9,52.98
+2,1.5,1.5,13:00,2218.2,42,42.9,52.81
+2,1.5,0.75,13:00,2216.2,42,40.5,52.77
+2,1.5,2.25,13:00,2214.2,42,42.9,52.72
+2,1.5,2.0,13:00,2214.2,42,42.9,52.72
+2,1.5,1.75,13:00,2214.2,42,42.9,52.72
+2,1.5,2.75,13:00,2214.2,42,42.9,52.72
+2,1.5,3.0,13:00,2214.2,42,42.9,52.72
+2,1.5,3.75,13:00,2214.2,42,42.9,52.72
+2,1.5,4.0,13:00,2214.2,42,42.9,52.72
+2,1.5,4.5,13:00,2214.2,42,42.9,52.72
+2,1.5,5.0,13:00,2214.2,42,42.9,52.72
+2,1.5,4.25,13:00,2214.2,42,42.9,52.72
+2,1.5,4.75,13:00,2214.2,42,42.9,52.72
+2,1.5,3.25,13:00,2214.2,42,42.9,52.72
+2,1.5,3.5,13:00,2214.2,42,42.9,52.72
+2,1.5,2.5,13:00,2214.2,42,42.9,52.72
+2,1.75,1.25,13:00,2207.2,42,42.9,52.55
+2,1.5,1.0,13:00,2204.2,42,42.9,52.48
+2,1.75,1.5,13:00,2200.2,42,42.9,52.39
+2,1.75,0.75,13:00,2198.2,42,40.5,52.34
+2,1.75,2.25,13:00,2196.2,42,42.9,52.29
+2,1.75,3.75,13:00,2196.2,42,42.9,52.29
+2,1.75,2.5,13:00,2196.2,42,42.9,52.29
+2,1.75,2.75,13:00,2196.2,42,42.9,52.29
+2,1.75,4.5,13:00,2196.2,42,42.9,52.29
+2,1.75,5.0,13:00,2196.2,42,42.9,52.29
+2,1.75,1.75,13:00,2196.2,42,42.9,52.29
+2,1.75,4.25,13:00,2196.2,42,42.9,52.29
+2,1.75,3.0,13:00,2196.2,42,42.9,52.29
+2,1.75,4.75,13:00,2196.2,42,42.9,52.29
+2,1.75,4.0,13:00,2196.2,42,42.9,52.29
+2,1.75,2.0,13:00,2196.2,42,42.9,52.29
+2,1.75,3.25,13:00,2196.2,42,42.9,52.29
+2,1.75,3.5,13:00,2196.2,42,42.9,52.29
+2,1.75,1.0,13:00,2186.2,42,42.9,52.05
+3,1.5,0.75,13:00,2083.2,42,40.5,49.6
+3,1.5,1.25,13:00,2078.2,42,40.5,49.48
+3,1.5,1.0,13:00,2077.2,42,40.5,49.46
+3,1.5,1.5,13:00,2075.2,42,40.5,49.41
+3,1.5,5.0,13:00,2071.2,42,40.5,49.31
+3,1.5,4.0,13:00,2071.2,42,40.5,49.31
+3,1.5,3.75,13:00,2071.2,42,40.5,49.31
+3,1.5,4.75,13:00,2071.2,42,40.5,49.31
+3,1.5,4.25,13:00,2071.2,42,40.5,49.31
+3,1.5,3.25,13:00,2071.2,42,40.5,49.31
+3,1.5,3.5,13:00,2071.2,42,40.5,49.31
+3,1.5,3.0,13:00,2071.2,42,40.5,49.31
+3,1.5,2.0,13:00,2071.2,42,40.5,49.31
+3,1.5,1.75,13:00,2071.2,42,40.5,49.31
+3,1.5,2.25,13:00,2071.2,42,40.5,49.31
+3,1.5,2.5,13:00,2071.2,42,40.5,49.31
+3,1.5,2.75,13:00,2071.2,42,40.5,49.31
+3,1.5,4.5,13:00,2071.2,42,40.5,49.31
+2,1.25,1.25,13:30,2050.2,42,40.5,48.81
+2,1.25,1.5,13:30,2043.2,42,40.5,48.65
+2,1.5,0.5,13:00,2042.2,42,35.7,48.62
+2,1.25,3.5,13:30,2039.2,42,40.5,48.55
+2,1.25,1.75,13:30,2039.2,42,40.5,48.55
+2,1.25,2.75,13:30,2039.2,42,40.5,48.55
+2,1.25,3.0,13:30,2039.2,42,40.5,48.55
+2,1.25,4.25,13:30,2039.2,42,40.5,48.55
+2,1.25,4.75,13:30,2039.2,42,40.5,48.55
+2,1.25,2.5,13:30,2039.2,42,40.5,48.55
+2,1.25,2.25,13:30,2039.2,42,40.5,48.55
+2,1.25,2.0,13:30,2039.2,42,40.5,48.55
+2,1.25,5.0,13:30,2039.2,42,40.5,48.55
+2,1.25,4.0,13:30,2039.2,42,40.5,48.55
+2,1.25,4.5,13:30,2039.2,42,40.5,48.55
+2,1.25,3.25,13:30,2039.2,42,40.5,48.55
+2,1.25,3.75,13:30,2039.2,42,40.5,48.55
+3,1.75,0.75,13:00,2038.2,42,40.5,48.53
+3,1.75,1.25,13:00,2033.2,42,40.5,48.41
+3,1.75,1.0,13:00,2032.2,42,40.5,48.39
+3,1.75,1.5,13:00,2030.2,42,40.5,48.34
+3,1.75,3.25,13:00,2026.2,42,40.5,48.24
+3,1.75,5.0,13:00,2026.2,42,40.5,48.24
+3,1.75,3.5,13:00,2026.2,42,40.5,48.24
+3,1.75,2.25,13:00,2026.2,42,40.5,48.24
+3,1.75,3.75,13:00,2026.2,42,40.5,48.24
+3,1.75,3.0,13:00,2026.2,42,40.5,48.24
+3,1.75,4.0,13:00,2026.2,42,40.5,48.24
