买腿偏移,卖腿偏移,组合,上涨触发%,下跌触发%,平仓时间,累计盈亏$,交易天数,胜率%,触发次数,日均盈亏$
1,5,+1/+5,0.8,0.2,13:00,727.4,47,40.4,41,15.48
1,5,+1/+5,0.8,0.2,12:30,699.4,47,42.6,39,14.88
2,5,+2/+5,2.0,1.3,13:00,665.8,49,46.9,1,13.59
2,5,+2/+5,1.9,1.3,13:00,665.8,49,46.9,1,13.59
2,5,+2/+5,2.0,1.4,13:00,664.8,49,46.9,1,13.57
2,5,+2/+5,1.9,1.5,13:00,664.8,49,46.9,1,13.57
2,5,+2/+5,1.9,1.4,13:00,664.8,49,46.9,1,13.57
2,5,+2/+5,2.0,1.5,13:00,664.8,49,46.9,1,13.57
2,5,+2/+5,0.8,1.3,12:30,662.8,49,53.1,16,13.53
2,5,+2/+5,0.8,1.4,12:30,661.8,49,53.1,16,13.51
2,5,+2/+5,0.8,1.5,12:30,661.8,49,53.1,16,13.51
2,5,+2/+5,1.9,0.7,13:00,656.8,49,44.9,13,13.4
2,5,+2/+5,2.0,0.7,13:00,656.8,49,44.9,13,13.4
2,5,+2/+5,0.8,1.3,14:00,637.8,49,51.0,20,13.02
2,5,+2/+5,0.8,1.5,14:00,636.8,49,51.0,19,13.0
2,5,+2/+5,0.8,1.4,14:00,636.8,49,51.0,19,13.0
2,5,+2/+5,1.9,1.0,13:00,632.8,49,46.9,5,12.91
2,5,+2/+5,2.0,1.0,13:00,632.8,49,46.9,5,12.91
1,5,+1/+5,0.8,1.3,12:30,632.4,47,51.1,16,13.46
1,5,+1/+5,0.8,1.5,12:30,632.4,47,51.1,16,13.46
1,5,+1/+5,0.8,1.4,12:30,632.4,47,51.1,16,13.46
2,5,+2/+5,1.6,1.3,12:30,628.8,49,49.0,2,12.83
2,5,+2/+5,1.7,1.3,12:30,628.8,49,49.0,2,12.83
2,5,+2/+5,1.8,1.3,12:30,628.8,49,49.0,2,12.83
2,5,+2/+5,1.4,1.3,12:30,628.8,49,49.0,2,12.83
2,5,+2/+5,1.5,1.3,12:30,628.8,49,49.0,2,12.83
2,5,+2/+5,1.7,1.5,12:30,627.8,49,49.0,2,12.81
2,5,+2/+5,1.6,1.4,12:30,627.8,49,49.0,2,12.81
2,5,+2/+5,1.6,1.5,12:30,627.8,49,49.0,2,12.81
2,5,+2/+5,1.7,1.4,12:30,627.8,49,49.0,2,12.81
2,5,+2/+5,1.5,1.5,12:30,627.8,49,49.0,2,12.81
2,5,+2/+5,1.4,1.4,12:30,627.8,49,49.0,2,12.81
2,5,+2/+5,1.4,1.5,12:30,627.8,49,49.0,2,12.81
2,5,+2/+5,1.5,1.4,12:30,627.8,49,49.0,2,12.81
2,5,+2/+5,1.8,1.4,12:30,627.8,49,49.0,2,12.81
2,5,+2/+5,1.8,1.5,12:30,627.8,49,49.0,2,12.81
2,5,+2/+5,1.9,1.3,12:30,625.8,49,49.0,1,12.77
2,5,+2/+5,2.0,1.3,12:30,625.8,49,49.0,1,12.77
2,5,+2/+5,2.0,1.5,12:30,624.8,49,49.0,1,12.75
2,5,+2/+5,1.9,1.4,12:30,624.8,49,49.0,1,12.75
2,5,+2/+5,2.0,1.4,12:30,624.8,49,49.0,1,12.75
2,5,+2/+5,1.9,1.5,12:30,624.8,49,49.0,1,12.75
2,5,+2/+5,2.0,1.1,13:00,620.8,49,46.9,4,12.67
2,5,+2/+5,1.9,1.1,13:00,620.8,49,46.9,4,12.67
1,5,+1/+5,0.8,0.2,13:30,617.4,47,40.4,42,13.14
2,5,+2/+5,1.3,1.3,12:30,609.8,49,49.0,3,12.44
2,5,+2/+5,1.3,1.5,12:30,608.8,49,49.0,3,12.42
2,5,+2/+5,1.3,1.4,12:30,608.8,49,49.0,3,12.42
2,5,+2/+5,0.8,1.3,13:00,596.8,49,51.0,17,12.18
1,5,+1/+5,1.8,0.2,13:00,596.4,47,36.2,29,12.69
1,5,+1/+5,2.0,0.2,13:00,596.4,47,36.2,29,12.69
1,5,+1/+5,1.9,0.2,13:00,596.4,47,36.2,29,12.69
2,5,+2/+5,0.8,1.4,13:00,595.8,49,51.0,17,12.16
2,5,+2/+5,0.8,1.5,13:00,595.8,49,51.0,17,12.16
2,5,+2/+5,2.0,1.2,13:00,593.8,49,46.9,4,12.12
2,5,+2/+5,1.9,1.2,13:00,593.8,49,46.9,4,12.12
2,5,+2/+5,0.8,0.3,13:00,590.8,49,40.8,38,12.06
2,5,+2/+5,1.9,0.8,13:00,588.8,49,44.9,12,12.02
2,5,+2/+5,2.0,0.8,13:00,588.8,49,44.9,12,12.02
2,5,+2/+5,0.8,0.7,13:00,587.8,49,49.0,29,12.0
1,5,+1/+5,1.4,0.2,12:30,586.4,47,38.3,28,12.48
1,5,+1/+5,1.6,0.2,12:30,586.4,47,38.3,28,12.48
1,5,+1/+5,1.8,0.2,12:30,586.4,47,38.3,28,12.48
1,5,+1/+5,1.5,0.2,12:30,586.4,47,38.3,28,12.48
