行权价,上涨触发%,下跌触发%,平仓时间,累计盈亏$,交易天数,日均盈亏$
±3,2.0,1.25,13:00,923.4,42,21.99
±4,2.0,1.25,13:00,916.4,42,21.82
±3,2.0,1.25,10:30,908.4,42,21.63
±4,2.0,1.25,10:30,902.4,42,21.49
±4,3.0,1.25,10:30,877.4,42,20.89
±4,2.75,1.25,10:30,877.4,42,20.89
±4,2.5,1.25,10:30,877.4,42,20.89
±4,2.25,1.25,10:30,877.4,42,20.89
±4,3.25,1.25,10:30,877.4,42,20.89
±3,2.0,1.25,13:30,856.4,42,20.39
±3,2.5,1.25,10:30,852.4,42,20.3
±3,3.0,1.25,10:30,852.4,42,20.3
±3,3.25,1.25,10:30,852.4,42,20.3
±3,2.75,1.25,10:30,852.4,42,20.3
±3,2.25,1.25,10:30,852.4,42,20.3
±4,2.75,1.25,13:00,823.4,42,19.6
±3,2.0,2.0,10:30,810.4,42,19.3
±4,2.0,0.75,10:30,769.4,42,18.32
±4,2.0,2.0,10:30,765.4,42,18.22
±3,2.75,1.25,13:00,761.4,42,18.13
±4,1.75,1.25,10:30,756.4,42,18.01
±3,2.5,2.0,10:30,754.4,42,17.96
±3,2.75,2.0,10:30,754.4,42,17.96
±3,2.25,2.0,10:30,754.4,42,17.96
±3,3.0,2.0,10:30,754.4,42,17.96
±3,3.25,2.0,10:30,754.4,42,17.96
±3,3.0,1.25,13:30,751.4,42,17.89
±3,1.75,1.25,10:30,750.4,42,17.87
±4,2.75,0.75,10:30,744.4,42,17.72
±4,3.25,0.75,10:30,744.4,42,17.72
±4,2.5,0.75,10:30,744.4,42,17.72
±4,3.0,0.75,10:30,744.4,42,17.72
±4,2.25,0.75,10:30,744.4,42,17.72
±4,2.5,2.0,10:30,740.4,42,17.63
±4,2.25,2.0,10:30,740.4,42,17.63
±4,3.0,2.0,10:30,740.4,42,17.63
±4,2.75,2.0,10:30,740.4,42,17.63
±4,3.25,2.0,10:30,740.4,42,17.63
±4,2.0,1.25,13:30,730.4,42,17.39
±3,3.25,1.25,13:30,723.4,42,17.22
±3,3.25,1.25,13:00,722.4,42,17.2
±3,3.0,1.25,13:00,722.4,42,17.2
±4,3.25,1.25,13:30,712.4,42,16.96
±4,2.0,1.0,10:30,706.4,42,16.82
±4,3.25,1.25,13:00,701.4,42,16.7
±4,3.0,1.25,13:00,701.4,42,16.7
±3,2.0,1.0,10:30,697.4,42,16.6
±3,2.0,0.75,10:30,695.4,42,16.56
±4,2.0,0.5,10:30,693.4,42,16.51
±4,1.75,1.25,13:00,689.4,42,16.41
±4,3.25,1.0,10:30,681.4,42,16.22
±4,2.5,1.0,10:30,681.4,42,16.22
±4,2.75,1.0,10:30,681.4,42,16.22
±4,3.0,1.0,10:30,681.4,42,16.22
±4,2.25,1.0,10:30,681.4,42,16.22
±3,1.75,1.25,13:00,680.4,42,16.2
±4,2.5,0.5,10:30,668.4,42,15.91
±4,3.25,0.5,10:30,668.4,42,15.91
±4,2.25,0.5,10:30,668.4,42,15.91
±4,3.0,0.5,10:30,668.4,42,15.91
±4,2.75,0.5,10:30,668.4,42,15.91
±3,2.75,1.25,13:30,653.4,42,15.56
±3,1.75,2.0,10:30,652.4,42,15.53
±3,3.25,1.0,10:30,641.4,42,15.27
